id,category_name,slug,image,banner_image,banner_text,meta_title,meta_description,meta_image,show_on_menu,show_on_homepage,status,created_at,updated_at
1,Sarees,,https://drive.google.com/file/d/1o4w0PMJkAnr8jksYX_G7SWUex2LIFDBN/view?usp=drive_link,images/webp/20871725255305.webp,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 05:33,09-02-2024 05:36
2,Suit Sets,,https://drive.google.com/file/d/1halLd3bP2EN1wbMP1hLjAu9JiVjs-y1u/view?usp=drive_link,images/webp/95861725255422.webp,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 05:37,09-02-2024 05:37
3,Dupatta,,https://drive.google.com/file/d/1g5Ue-tEv_6s6Pbl50wk39Qmmg7BNjQCZ/view?usp=drive_link,NULL,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 05:37,09-02-2024 05:37
4,Lehenga,,https://drive.google.com/file/d/1MqnfQc8rujlbHWkbcUz03hYfMM_7wflZ/view?usp=drive_link,,,,,,,,,,
