id,category_name,slug,image,banner_image,banner_text,meta_title,meta_description,meta_image,show_on_menu,show_on_homepage,status,created_at,updated_at
1,Sarees,,https://drive.google.com/drive/folders/1jjNPgedKNoCLljtc020hzq1hhLYi1IG-?usp=drive_link,images/webp/20871725255305.webp,NULL,NULL,NULL,NULL,NULL,1,1,02-09-2024 05:33,02-09-2024 05:36
2,Suit Sets,,https://drive.google.com/drive/folders/1oZT2SNAjj1LDmM7W07AckaG5QNsDZikJ?usp=drive_link,images/webp/95861725255422.webp,NULL,NULL,NULL,NULL,NULL,1,1,02-09-2024 05:37,02-09-2024 05:37
3,Dupatta,,https://drive.google.com/drive/folders/1hhbyGy76W5jdpwqMFPeLYRFFDUp0ayhn?usp=drive_link,NULL,NULL,NULL,NULL,NULL,NULL,1,1,02-09-2024 05:37,02-09-2024 05:37
4,Lehenga,,https://drive.google.com/drive/folders/100VIjxF7O1Y0KvPOMRzllzHGdYZl-TNK?usp=drive_link,,,,,,,,,,
